Maquina,Area
A001,Corte M1
A002,Corte M1
A003,Corte M1
A004,Corte M1
A005,Corte M1
A006,Corte M1
A007,Corte M1
A008,Corte M1
A009,Corte M1
A010,Corte M1
A011,Corte M1
A012,Corte M1
A013,Corte M1
A014,Corte M1
A015,Corte M1
A016,Corte M1
A017,Corte M1
A018,Corte M1
A019,Corte M1
A020,Corte M1
A021,Corte M1
A022,Corte M1
A023,Corte M1
A024,Corte M1
A025,Corte M1
A026,Corte M1
A027,Corte M1
A028,Corte M1
A029,Corte M1
A030,Corte M1
A031,Corte M1
A888,Medios M2
B301,Medios M1
C001,Medios M1
C002,Medios M1
C003,Medios M1
C004,Medios M1
C009,Medios M1
C010,Medios M1
C011,Medios M1
C012,Medios M1
C013,Medios M1
C014,Medios M1
C301,Medios M1
C303,Medios M1
I001,Medios M1
I002,Medios M1
I301,Medios M1
SJ01,Medios M1
SJ02,Medios M1
SJ03,Medios M1
SJ04,Medios M1
SJ05,Medios M1
SJ06,Medios M1
SJ07,Medios M1
SJ31,Medios M1
SL01,Medios M1
SL02,Medios M1
SL03,Medios M1
SL04,Medios M1
SL05,Medios M1
SL06,Medios M1
SL07,Medios M1
SLD1,Medios M1
A101,Corte M2
A102,Corte M2
A103,Corte M2
A104,Corte M2
A105,Corte M2
A106,Corte M2
A107,Corte M2
A108,Corte M2
A109,Corte M2
A110,Corte M2
A111,Corte M2
A112,Corte M2
A113,Corte M2
A114,Corte M2
A115,Corte M2
A116,Corte M2
A117,Corte M2
A118,Corte M2
A119,Corte M2
A120,Corte M2
A121,Corte M2
A122,Corte M2
A123,Corte M2
A124,Corte M2
A125,Corte M2
A126,Corte M2
B151,Medios M2
B152,Medios M2
C101,Medios M2
C102,Medios M2
C103,Medios M2
C104,Medios M2
C105,Medios M2
C106,Medios M2
C107,Medios M2
C120,Medios M2
C121,Medios M2
C122,Medios M2
C123,Medios M2
C124,Medios M2
C140,Medios M2
C141,Medios M2
C142,Medios M2
C143,Medios M2
C145,Medios M2
C151,Medios M2
C152,Medios M2
C153,Medios M2
C154,Medios M2
C155,Medios M2
I101,Medios M2
I102,Medios M2
I103,Medios M2
I104,Medios M2
I105,Medios M2
I112,Medios M2
I113,Medios M2
I114,Medios M2
I115,Medios M2
I116,Medios M2
I117,Medios M2
I132,Medios M2
I135,Medios M2
I153,Medios M2
I170,Medios M2
I171,Medios M2
SJ51,Medios M2
SJ52,Medios M2
SJ53,Medios M2
SJ54,Medios M2
SJ55,Medios M2
SJ56,Medios M2
SJ57,Medios M2
SJ70,Medios M2
SL51,Medios M2
SL52,Medios M2
SL53,Medios M2
SL54,Medios M2
A201,Corte M1
A202,Corte M1
A203,Corte M1
C201,Medios M1
C202,Medios M1
C203,Medios M1
I202,Medios M1
SJ08,Medios M1
C125,Medios M2
I125,Medios M2
I120,Medios M2
I130,Medios M2
I131,Medios M2
C302,Medios M1
SJ71,Medios M2
C999,Medios M1
SP01,Medios M1
